Row,Response Text,Question,Score,Name,StudentsResponse3
1.0,Matter is anything that occupies space and has mass.,Define matter,10.0,Madison King,
2.0,Matter is stuff that you can see and touch.,Define matter,6.0,Ethan Miller,
3.0,Anything that weighs something is matter.,Define matter,7.0,Olivia Jones,
4.0,"Matter is like the building blocks of the world, made of tiny things.",Define matter,8.0,William Brown,
5.0,"There are hot, cold, and squishy versions of matter, like solid, liquid, and gas.",Define matter,5.0,Sophia Garcia,
6.0,You can crush matter to make it smaller and smaller.,Define matter,4.0,Noah Hernandez,
7.0,Matter can disappear if you break it enough.,Define matter,2.0,Ava Jackson,
8.0,"Only living things are made of matter, not non-living things.",Define matter,3.0,Elijah Roberts,
9.0,"Matter can turn into energy, but I don't know exactly how.",Define matter,8.0,Mia Lopez,
10.0,"Really small things, like dust, aren't matter because you can't see them.",Define matter,2.0,Lucas Martinez,
11.0,Anything you can hold is matter.,Define matter,6.0,Isabella Robinson,
12.0,Hot things must have more matter than cold things because they feel heavier.,Define matter,2.0,Benjamin Clark,
13.0,"You can separate matter by color, like sorting laundry.",Define matter,2.0,Amelia Walker,
14.0,Scientists can create new matter in a lab.,Define matter,3.0,Michael Thomas,
15.0,Maybe there are more states of matter that we haven't found yet.,Define matter,7.0,Charlotte Thompson,
16.0,"Matter changes all the time, even when it looks the same.",Define matter,8.0,Daniel Garcia,
17.0,"Light might be a kind of matter, since you can see it.",Define matter,2.0,Evelyn Moore,
18.0,"Only some liquids are matter, like water.",Define matter,2.0,Aiden Young,
19.0,"Matter can be good or bad, depending on what it's used for.",Define matter,0.0,Harper Lee,
20.0,"The more matter something has, the heavier it feels.",Define matter,8.0,Gabriel Hernandez,
21.0,"If something feels empty, it doesn't have any matter.",Define matter,2.0,Luna Johnson,
22.0,Really strong things are probably made of the most matter.,Define matter,3.0,Matthew Miller,
23.0,Sound might be a type of matter because you can hear it.,Define matter,2.0,Chloe Wilson,
24.0,Matter can be destroyed in a black hole.,Define matter,4.0,James Anderson,
25.0,There are probably tiny creatures living inside matter.,Define matter,3.0,Ava Rodriguez,
26.0,Matter is just the stuff you learn about in science class.,Define matter,0.0,Liam Jones,
27.0,Matter is only things that are made by humans.,Define matter,0.0,Evelyn Garcia,
28.0,Ideas and thoughts are a kind of matter because you can think them.,Define matter,0.0,Christopher Taylor,
29.0,The feeling of hot or cold is matter because you can feel it.,Define matter,0.0,Sofia Lopez,
30.0,Empty space is a type of matter.,Define matter,0.0,Logan Martin,
31.0,Love and emotions are a form of matter because you can feel them.,Define matter,0.0,Mia Sanchez,
32.0,"Everything you see is matter, even pictures on a screen.",Define matter,7.0,Ethan Miller,
33.0,"The more colorful something is, the more matter it must have.",Define matter,2.0,Olivia Jones,
34.0,Words on a page are made of matter because you can touch them.,,,,
35.0,Matter is anything you can buy in a store.,Define matter,0.0,William Brown,
36.0,"Big things have more matter than small things, no matter what they're made of.",Define matter,5.0,Sophia Garcia,
37.0,"You can break matter into smaller and smaller pieces, but eventually it runs out.",Define matter,4.0,Noah Hernandez,
38.0,Solids are the strongest form of matter because they can't be squished.,Define matter,5.0,Ava Jackson,
39.0,Gases can't be seen because they don't have any matter.,Define matter,2.0,Elijah Roberts,
40.0,Plants take in sunlight and turn it into matter.,Define matter,2.0,Mia Lopez,
41.0,Expensive things must have more matter because they cost more.,Define matter,0.0,Lucas Martinez,
42.0,Mixing two different things together creates a new kind of matter.,Define matter,4.0,Isabella Robinson,
43.0,Scientists are always looking for new kinds of matter on other planets.,Define matter,7.0,Benjamin Clark,
44.0,"Matter can't move on its own, you always have to push or pull it.",Define matter,3.0,Amelia Walker,
45.0,Matter is anything you can learn about in a book.,Define matter,0.0,Michael Thomas,
46.0,The taste of something is a type of matter because you can taste it.,Define matter,0.0,Charlotte Thompson,
47.0,"Matter disappears when you throw it away, it just goes somewhere else.",Define matter,2.0,Daniel Garcia,
48.0,Maybe there are different rules for matter in outer space.,Define matter,5.0,Evelyn Moore,
49.0,"Only things that are natural can be matter, things made by humans aren't.",Define matter,3.0,Aiden Young,
50.0,"Matter can be used to make things, like buildings and furniture.",Define matter,1.0,Harper Lee,
111.0,Matter makes up everything except for maybe empty space.,Define matter,8.0,Gabriel Hernandez,
112.0,"A heavier object must have more matter, but a small, heavy object might be denser.",Define matter,7.0,Luna Johnson,
113.0,Matter can feel cold or hot depending on its temperature.,Define matter,5.0,Matthew Miller,
114.0,"Shrinking something wouldn't remove its matter, it would just make the particles closer together.",Define matter,8.0,Chloe Wilson,
115.0,Maybe scientists can someday create new types of matter in labs.,Define matter,6.0,James Anderson,
116.0,Understanding matter helps us understand how the universe works.,Define matter,9.0,Ava Rodriguez,
117.0,"Matter is the foundation for everything in the world, but it's made of even smaller things.",Define matter,10.0,Liam Jones,
118.0,"Some matter can be used to generate electricity, which is a form of energy.",Define matter,7.0,Evelyn Garcia,
119.0,"Air might be invisible, but it has mass and takes up space, so it's definitely matter.",Define matter,10.0,Christopher Taylor,
120.0,The way atoms are bonded together determines the properties of the resulting matter.,Define matter,9.0,Sofia Lopez,
121.0,Matter can be arranged in different ways to create different materials.,Define matter,8.0,Logan Martin,
122.0,"Light might interact with matter, but it's not really considered matter itself.",Define matter,8.0,Mia Sanchez,
123.0,"Even though you can't touch a hologram, the light that creates it might be a form of matter.",Define matter,6.0,Ethan Miller,
124.0,The amount of light an object reflects might be related to the type of matter it's made of.,Define matter,7.0,Olivia Jones,
125.0,"Information stored on a computer hard drive might not be matter, but it's related to it.",Define matter,6.0,William Brown,
126.0,"A scale can measure the mass of an object, which is a property related to matter.",Define matter,8.0,Sophia Garcia,
127.0,"Matter can change its state (solid, liquid, gas) through processes like heating or cooling.",Define matter,9.0,Noah Hernandez,
128.0,All gases are made of tiny particles of matter that are spread out far apart.,Define matter,8.0,Ava Jackson,
129.0,"Sound waves might not be matter, but they can travel through matter.",Define matter,6.0,Elijah Roberts,
130.0,Plants use sunlight and matter from the soil to grow and reproduce.,Define matter,7.0,Mia Lopez,
